latitude,longitude,bedrock_depth,land_district_code,utm_zone_code,coordinate_acquisition_code,aquifer_lithology_code
49.15590912292727,-122.7008434321712,235.60905253071508,1332.0,110.0,12,0
49.33611181592943,-117.65994789169618,88.69096334939746,702.0,132.0,6,0
48.810545421012506,-123.4402352833963,3.0,272.0,110.0,12,2
49.02120569577123,-122.04703899509633,134.8935618048451,1332.0,110.0,56,0
49.16679041825573,-123.85683678698882,8.0,1056.0,110.0,12,2
50.08628825614392,-120.76812130529429,70.0,650.0,110.0,6,0
48.48034422133439,-123.51832846201773,6.0,600.0,110.0,2,2
49.820740390549986,-125.03586173181878,175.80472640172866,240.0,110.0,6,0
49.52906446843164,-115.75044829054677,77.05150265744061,702.0,132.0,6,0
50.268847398059265,-118.96596054754198,123.48431799283462,1722.0,132.0,6,0
49.07677115381444,-122.26122411170213,80.68228928396267,1332.0,110.0,2,0
49.083135316299675,-123.93760090441513,10.0,342.0,110.0,42,6
51.42424504169889,-120.20686860507544,61.333334553598796,650.0,110.0,12,0
48.51733425313731,-123.48681109139964,0.7617537651217721,600.0,110.0,12,2
48.89321648883271,-123.34173209172393,4.0,272.0,110.0,12,2
48.80456993922947,-123.28095432455262,15.0,272.0,110.0,2,2
50.851185645956534,-119.44033161263356,79.55545579114879,650.0,132.0,6,0
49.062512148325276,-122.57651853948667,195.91471977605414,1332.0,110.0,12,0
54.51902300645401,-126.44395714895023,64.74566899246334,210.0,90.0,20,0
49.069876962732515,-122.51412583818082,220.12127317776088,1332.0,110.0,12,0
48.67963682388526,-123.54820226315846,112.96742128274815,2862.0,110.0,0,0
49.74166280727826,-119.17260944552065,25.671957075309994,2970.0,132.0,42,6
48.534809387068826,-123.50354015756984,3.0,600.0,110.0,20,2
52.144131206511574,-122.11174332598092,250.0,30.0,110.0,12,0
51.06397470090085,-120.21522810456052,104.36631891648632,650.0,110.0,2,0
48.485111418643015,-123.47926166394377,5.541701377799511,600.0,110.0,2,0
49.00217550767658,-123.62807844574948,4.845071400104817,272.0,110.0,56,6
51.56939171192136,-121.15897846263142,6.0,756.0,110.0,30,6
49.24724252947325,-124.11971532219495,124.83297489658867,1122.0,110.0,2,0
49.46416510280101,-124.77474872966228,28.7949236459291,1260.0,110.0,6,0
50.63504823059379,-120.23672786534343,50.816814723334225,650.0,110.0,6,0
50.65315597702236,-119.19386860731791,57.34751468917723,650.0,132.0,56,6
49.13391660552032,-123.75583879503301,69.0,1056.0,110.0,12,2
49.299302247825494,-124.33899631205058,39.0,1122.0,110.0,12,2
49.050327356019935,-122.47538174663171,439.8751746660594,1332.0,110.0,42,6
49.52229651778018,-124.79492085161748,8.0,1056.0,110.0,12,2
50.61219378093286,-118.73782454975624,101.38710477824904,650.0,132.0,72,0
50.5970618316526,-126.93783596178342,37.637858698321594,2450.0,90.0,6,0
48.848231770747525,-123.45219147947991,13.282964193374584,272.0,110.0,0,2
53.07079331482976,-122.38383570073557,130.0,30.0,110.0,20,2
49.03648803487602,-122.38006812640671,285.4708190473105,1332.0,110.0,56,6
50.730196536293825,-120.03627638541676,8.0,650.0,110.0,6,2
49.033689778128476,-122.29482006884344,74.0892884860622,1332.0,110.0,12,0
48.630677163353795,-123.4175778543132,56.0,1640.0,110.0,12,2
55.81091964579809,-121.50819861410858,110.51349793823198,1980.0,110.0,30,0
49.08483569918136,-122.66837169814687,144.11174136335114,1332.0,110.0,12,0
48.67963682388526,-123.54820226315846,293.0,2862.0,110.0,0,0
51.61197630150336,-121.23299929872985,77.0,756.0,110.0,2,2
52.803665184979636,-119.22677880362299,90.56949239886514,30.0,132.0,42,6
50.18131522985729,-122.87495516864465,10.0,1332.0,110.0,0,2
49.25574104405839,-124.18878597467638,10.0,1122.0,110.0,2,2
48.963991616705435,-123.7870143856251,8.0,1892.0,110.0,12,2
52.110886343673236,-122.16075399384302,115.50419261928265,30.0,110.0,12,0
49.03162982565863,-122.62665484029867,195.74274048576774,1332.0,110.0,12,0
49.78585631847424,-115.72993367489924,81.50143079443973,702.0,132.0,6,0
49.44044131243171,-117.53782116571821,206.0,702.0,132.0,42,6
50.621796048578766,-119.1674177955448,31.0,650.0,132.0,12,0
51.186886052289864,-120.12636447661264,224.11242495599888,650.0,110.0,2,0
49.09846609086928,-122.55818569672114,111.74133176200898,1332.0,110.0,12,0
53.96872632964703,-122.56851003421298,155.51024326686635,30.0,110.0,20,0
49.95055830676758,-114.76095456786162,65.0,702.0,132.0,0,6
48.7864563666122,-123.95575035078771,190.0,306.0,110.0,42,6
52.545529142954216,-121.63388291530866,35.58995776000866,30.0,110.0,42,6
49.064398252147114,-116.47920097174334,60.0,702.0,132.0,6,2
49.056754697251975,-122.6723116184058,200.38340420021598,1332.0,110.0,12,0
53.05010347421551,-122.45814658830031,158.08680046415475,30.0,110.0,12,0
50.583141744353775,-127.00147355308204,108.0,2450.0,90.0,0,6
49.1075226709043,-122.72799395100768,239.0349338255752,1332.0,110.0,12,0
51.584306414904624,-121.18557539330693,30.0,756.0,110.0,0,6
49.18036320654021,-123.9975728427462,11.063998286838773,992.0,110.0,20,0
49.49157761153737,-124.7413681887477,6.0,1056.0,110.0,12,2
50.14038013755153,-115.7882697288514,55.0,702.0,132.0,6,0
49.0574400886631,-122.38135204178903,413.26432375483137,1332.0,110.0,12,0
49.17256825263656,-122.65149110955798,164.74755034359313,1332.0,110.0,12,0
48.476802276049426,-123.43637705646499,19.0,3906.0,110.0,2,2
49.0574400886631,-122.38135204178903,357.5090745570914,1332.0,110.0,2,0
