latitude,longitude,licence_status,diameter,bedrock_depth,finished_well_depth,static_water_level
-122.06436825344936,49.063731699118065,0,0.0,54.8266928954795,225.12421300567155,120.12421300567156
-122.06436825344936,49.063731699118065,0,0.0,31.546972509943775,85.33400910883724,22.345903860019412
-122.06436825344936,49.063731699118065,0,0.0,30.492065546291585,74.08277751770895,23.082777517708944
-122.06436825344936,49.063731699118065,0,0.0,31.922772903302164,95.60977996019288,25.156068858751304
-122.06436825344936,49.063731699118065,0,0.0,20.78432180295727,74.29256837656158,14.292568376561581
-122.06436825344936,49.063731699118065,0,0.0,14.146064191821257,120.52516159863058,42.52516159863058
-122.06436825344936,49.063731699118065,0,0.0,32.203697574336125,75.62912037750193,40.629120377501934
-122.06436825344936,49.063731699118065,0,0.0,9.757157438219464,114.13050667295371,14.130506672953722
-122.06436825344936,49.063731699118065,0,0.0,49.38853582504209,10.37460823658441,8.37460823658441
-122.06436825344936,49.063731699118065,0,42.0,84.51440319119575,160.76440319119575,63.514403191195754
-122.06436825344936,49.063731699118065,0,42.0,15.759532734283336,146.75953273428334,78.75953273428334
-122.06436825344936,49.063731699118065,0,42.0,37.61677247451791,185.4559809266739,82.45598092667389
-122.06436825344936,49.063731699118065,0,0.0,86.40826718128707,366.8946755946571,46.08628889680652
-122.06436825344936,49.063731699118065,0,42.0,44.026702279329136,188.02670227932913,21.995307329181152
-122.06436825344936,49.063731699118065,0,42.0,35.46772112286952,388.46772112286953,21.009662920448537
-121.86730620673431,49.09307352302181,0,42.0,69.64337814762344,193.39651396579936,130.39651396579936
-121.96016777572667,49.10631012111698,0,110.0,111.26079161821278,75.41911335846225,42.419113358462255
-122.04696936053213,49.10212312333188,0,0.0,25.668434031351495,60.73770190860634,1.7377019086063386
-122.0048819748701,49.10538555853741,0,6.0,64.56929784111495,29.186914646321203,7.186914646321204
-122.02788882684736,49.10364015997879,0,72.0,20.668962605123838,75.63049437382381,1.6304943738238047
-122.0048819748701,49.10538555853741,0,42.0,13.70510241537131,83.10293320913962,6.102933209139625
-121.84007221466713,49.10129772605597,0,42.0,121.20270078991523,180.0022815723324,74.31852705273894
-122.06653273568737,49.10713978663777,0,42.0,43.57353055887574,181.97797663115614,5.730513921020506
-121.98824418663968,49.10486586844265,0,110.0,77.92192777891256,96.3677717522214,21.367771752221405
-121.98824418663968,49.10486586844265,0,110.0,77.68605297745304,95.9262941200765,19.926294120076513
-121.84007221466713,49.10129772605597,0,42.0,112.68403430360392,21.015184817266693,22.980468942500906
-121.96016777572667,49.10631012111698,0,110.0,111.35573033367663,99.51286723206579,42.51286723206579
-121.90235684169501,49.098406987631044,0,42.0,23.44534634295029,698.0229953930316,60.02299539303161
-121.88716760006456,49.09189154171944,0,42.0,55.23743187205234,137.36135710426288,119.36135710426286
-121.8952399194827,49.108136127795035,0,42.0,23.88870479836057,205.90037051375148,8.827098586952182
-121.8952399194827,49.108136127795035,0,42.0,23.195708598148812,85.12214111957378,7.122141119573785
-121.8952399194827,49.108136127795035,0,42.0,11.663392054329085,203.66339205432908,29.663392054329083
-121.91976879543598,49.09865638665711,0,42.0,205.96503072979502,142.619027681407,175.96503072979502
-122.06653273568737,49.10713978663777,0,6.0,42.90703060319019,61.38937264805022,5.889372648050223
-121.90235684169501,49.098406987631044,0,42.0,26.28822417873322,165.92474117413863,50.92474117413864
-121.97180217708117,49.09721990775146,0,42.0,92.64820567479035,64.1615783822956,41.1615783822956
-121.98824418663968,49.10486586844265,0,42.0,81.82769630194231,119.48262359562624,8.232623595626237
-121.90235684169501,49.098406987631044,0,42.0,23.156183057847283,264.0478363013452,71.89182399323367
-122.04696936053213,49.10212312333188,0,6.0,20.782377136522296,89.93780829066078,7.437808290660781
-122.03428238089364,49.086402696682086,0,6.0,12.088324507467888,22.409176671639692,3.409176671639692
-121.91976879543598,49.09865638665711,0,0.0,378.2487070322586,299.9737315890946,227.59175127442845
-121.91976879543598,49.09865638665711,0,0.0,379.08598533479005,175.62272279744275,228.2214859537566
-122.0653514507214,49.08270974750745,0,6.0,23.03302277013526,54.08821438367344,3.0882143836734395
-122.0653514507214,49.08270974750745,2,0.0,24.33661843632302,20.95281927033613,5.806274648516402
-121.87048458688628,49.10456142319759,0,42.0,163.20675467634612,410.2067546763461,25.206754676346137
-121.87048458688628,49.10456142319759,0,42.0,62.8688990826299,495.8688990826299,19.16260363618202
-121.98824418663968,49.10486586844265,0,42.0,83.10764968211184,74.26948571781678,17.26948571781678
-121.98824418663968,49.10486586844265,0,42.0,82.98657053081463,84.13728347229218,11.137283472292179
