well_tag_number,latitude,longitude,latitude_orig,longitude_orig,licence_status,diameter,bedrock_depth,finished_well_depth,static_water_level
76200,-122.06436825344936,49.063731699118065,-122.072735000222,49.0574920003459,0,0.0,54.8266928954795,225.12421300567155,120.12421300567156
72403,-122.06436825344936,49.063731699118065,-122.065032000343,49.061703000057,0,0.0,31.546972509943775,85.33400910883724,22.345903860019412
72410,-122.06436825344936,49.063731699118065,-122.064991000467,49.0616930000147,0,0.0,30.492065546291585,74.08277751770895,23.082777517708944
72411,-122.06436825344936,49.063731699118065,-122.065003999536,49.0617019998957,0,0.0,31.922772903302164,95.60977996019288,25.156068858751304
72420,-122.06436825344936,49.063731699118065,-122.065044999423,49.0617119999329,0,0.0,20.78432180295727,74.29256837656158,14.292568376561581
72421,-122.06436825344936,49.063731699118065,-122.068445999836,49.0621260000934,0,0.0,14.146064191821257,120.52516159863058,42.52516159863058
72424,-122.06436825344936,49.063731699118065,-122.065033000681,49.0616399996204,0,0.0,32.203697574336125,75.62912037750193,40.629120377501934
72425,-122.06436825344936,49.063731699118065,-122.066300000505,49.0627000001369,0,0.0,9.757157438219464,114.13050667295371,14.130506672953722
114778,-122.06436825344936,49.063731699118065,-122.064997000327,49.0575360001762,0,0.0,49.38853582504209,10.37460823658441,8.37460823658441
110873,-122.06436825344936,49.063731699118065,-122.072699999469,49.0585399998043,0,42.0,84.51440319119575,160.76440319119575,63.514403191195754
111004,-122.06436825344936,49.063731699118065,-122.071585000564,49.0596960004619,0,42.0,15.759532734283336,146.75953273428334,78.75953273428334
111007,-122.06436825344936,49.063731699118065,-122.071138000334,49.0601599998883,0,42.0,37.61677247451791,185.4559809266739,82.45598092667389
118407,-122.06436825344936,49.063731699118065,-122.05973999957,49.0636100000681,0,0.0,86.40826718128707,366.8946755946571,46.08628889680652
116316,-122.06436825344936,49.063731699118065,-122.067223000453,49.0587249999811,0,42.0,44.026702279329136,188.02670227932913,21.995307329181152
116400,-122.06436825344936,49.063731699118065,-122.063835000254,49.058382999703,0,42.0,35.46772112286952,388.46772112286953,21.009662920448537
92172,-121.86730620673431,49.09307352302181,-121.871132999842,49.0963750002834,0,42.0,69.64337814762344,193.39651396579936,130.39651396579936
92108,-121.96016777572667,49.10631012111698,-121.952469000383,49.107792000101,0,110.0,111.26079161821278,75.41911335846225,42.419113358462255
89252,-122.04696936053213,49.10212312333188,-122.054195999517,49.1031920002565,0,0.0,25.668434031351495,60.73770190860634,1.7377019086063386
95471,-122.0048819748701,49.10538555853741,-121.997965999384,49.109492000116,0,6.0,64.56929784111495,29.186914646321203,7.186914646321204
94188,-122.02788882684736,49.10364015997879,-122.02782900017,49.1091980000709,0,72.0,20.668962605123838,75.63049437382381,1.6304943738238047
94189,-122.0048819748701,49.10538555853741,-122.011759000096,49.1042399999442,0,42.0,13.70510241537131,83.10293320913962,6.102933209139625
93278,-121.84007221466713,49.10129772605597,-121.834569999998,49.1029700000602,0,42.0,121.20270078991523,180.0022815723324,74.31852705273894
92221,-122.06653273568737,49.10713978663777,-122.068691999583,49.106072000281,0,42.0,43.57353055887574,181.97797663115614,5.730513921020506
92228,-121.98824418663968,49.10486586844265,-121.992624999373,49.0991720003283,0,110.0,77.92192777891256,96.3677717522214,21.367771752221405
92229,-121.98824418663968,49.10486586844265,-121.992171000484,49.0992759996873,0,110.0,77.68605297745304,95.9262941200765,19.926294120076513
93313,-121.84007221466713,49.10129772605597,-121.845887999545,49.0951079996926,0,42.0,112.68403430360392,21.015184817266693,22.980468942500906
92261,-121.96016777572667,49.10631012111698,-121.95249999935,49.1077999996553,0,110.0,111.35573033367663,99.51286723206579,42.51286723206579
93373,-121.90235684169501,49.098406987631044,-121.905238999482,49.0965770001201,0,42.0,23.44534634295029,698.0229953930316,60.02299539303161
92347,-121.88716760006456,49.09189154171944,-121.8850810001,49.091958000089,0,42.0,55.23743187205234,137.36135710426288,119.36135710426286
99787,-121.8952399194827,49.108136127795035,-121.898098999637,49.1158589996621,0,42.0,23.88870479836057,205.90037051375148,8.827098586952182
99796,-121.8952399194827,49.108136127795035,-121.898126000187,49.1158680002963,0,42.0,23.195708598148812,85.12214111957378,7.122141119573785
101102,-121.8952399194827,49.108136127795035,-121.897415999582,49.1139089998213,0,42.0,11.663392054329085,203.66339205432908,29.663392054329083
101192,-121.91976879543598,49.09865638665711,-121.918755999568,49.1086960000887,0,42.0,205.96503072979502,142.619027681407,175.96503072979502
98870,-122.06653273568737,49.10713978663777,-122.061399000114,49.1084869997621,0,6.0,42.90703060319019,61.38937264805022,5.889372648050223
