latitude,longitude,bedrock_depth,land_district_code,utm_zone_code,coordinate_acquisition_code,aquifer_lithology_code,well_tag_number,latitude_orig,longitude_orig
49.15590912292727,-122.7008434321712,235.60905253071508,1332.0,110.0,12,0,204,49.156119,-122.701057
49.33611181592943,-117.65994789169618,88.69096334939746,702.0,132.0,6,0,13954,49.334649,-117.661973
48.810545421012506,-123.4402352833963,3.0,272.0,110.0,12,2,22186,48.810264,-123.43905
49.02120569577123,-122.04703899509633,134.8935618048451,1332.0,110.0,56,0,75364,49.010441,-122.053561
49.16679041825573,-123.85683678698882,8.0,1056.0,110.0,12,2,42128,49.174934,-123.868827
50.08628825614392,-120.76812130529429,70.0,650.0,110.0,6,0,34175,50.085743,-120.767555
48.48034422133439,-123.51832846201773,6.0,600.0,110.0,2,2,81691,48.481354,-123.514947
49.820740390549986,-125.03586173181878,175.80472640172866,240.0,110.0,6,0,7241,49.820805,-125.037145
49.52906446843164,-115.75044829054677,77.05150265744061,702.0,132.0,6,0,398,49.518625,-115.751782
50.268847398059265,-118.96596054754198,123.48431799283462,1722.0,132.0,6,0,24281,50.267346,-118.969696
49.07677115381444,-122.26122411170213,80.68228928396267,1332.0,110.0,2,0,34306,49.081084,-122.250597
49.083135316299675,-123.93760090441513,10.0,342.0,110.0,42,6,87319,49.09121,-123.944658
51.42424504169889,-120.20686860507544,61.333334553598796,650.0,110.0,12,0,57740,51.424039,-120.204955
48.51733425313731,-123.48681109139964,0.7617537651217721,600.0,110.0,12,2,29935,48.516671,-123.480219
48.89321648883271,-123.34173209172393,4.0,272.0,110.0,12,2,56508,48.903424,-123.350118
48.80456993922947,-123.28095432455262,15.0,272.0,110.0,2,2,60730,48.812327,-123.286664
50.851185645956534,-119.44033161263356,79.55545579114879,650.0,132.0,6,0,57889,50.853172,-119.447259
49.062512148325276,-122.57651853948667,195.91471977605414,1332.0,110.0,12,0,5741,49.067779,-122.581138
54.51902300645401,-126.44395714895023,64.74566899246334,210.0,90.0,20,0,44366,54.516978,-126.442346
49.069876962732515,-122.51412583818082,220.12127317776088,1332.0,110.0,12,0,5650,49.065598,-122.517744
48.67963682388526,-123.54820226315846,112.96742128274815,2862.0,110.0,0,0,52811,48.67902,-123.5463
49.74166280727826,-119.17260944552065,25.671957075309994,2970.0,132.0,42,6,70071,49.755871,-119.176922
48.534809387068826,-123.50354015756984,3.0,600.0,110.0,20,2,69704,48.530203,-123.505135
52.144131206511574,-122.11174332598092,250.0,30.0,110.0,12,0,50425,52.142258,-122.115108
51.06397470090085,-120.21522810456052,104.36631891648632,650.0,110.0,2,0,61724,51.063006,-120.216034
48.485111418643015,-123.47926166394377,5.541701377799511,600.0,110.0,2,0,21562,48.483617,-123.480408
49.00217550767658,-123.62807844574948,4.845071400104817,272.0,110.0,56,6,64659,49.002675,-123.627741
51.56939171192136,-121.15897846263142,6.0,756.0,110.0,30,6,82691,51.572362,-121.172687
49.24724252947325,-124.11971532219495,124.83297489658867,1122.0,110.0,2,0,44752,49.248041,-124.123225
49.46416510280101,-124.77474872966228,28.7949236459291,1260.0,110.0,6,0,12816,49.465692,-124.781444
50.63504823059379,-120.23672786534343,50.816814723334225,650.0,110.0,6,0,36863,50.674326,-120.248832
50.65315597702236,-119.19386860731791,57.34751468917723,650.0,132.0,56,6,76264,50.652203,-119.190423
49.13391660552032,-123.75583879503301,69.0,1056.0,110.0,12,2,38610,49.134287,-123.751672
49.299302247825494,-124.33899631205058,39.0,1122.0,110.0,12,2,42770,49.298196,-124.338085
49.050327356019935,-122.47538174663171,439.8751746660594,1332.0,110.0,42,6,101178,49.045431,-122.464994
49.52229651778018,-124.79492085161748,8.0,1056.0,110.0,12,2,43450,49.520987,-124.794327
50.61219378093286,-118.73782454975624,101.38710477824904,650.0,132.0,72,0,85581,50.610859,-118.73921
50.5970618316526,-126.93783596178342,37.637858698321594,2450.0,90.0,6,0,20046,50.594945,-126.93917
48.848231770747525,-123.45219147947991,13.282964193374584,272.0,110.0,0,2,108172,48.85415,-123.454361
53.07079331482976,-122.38383570073557,130.0,30.0,110.0,20,2,54266,53.071426,-122.381351
49.03648803487602,-122.38006812640671,285.4708190473105,1332.0,110.0,56,6,67472,49.032067,-122.3794
50.730196536293825,-120.03627638541676,8.0,650.0,110.0,6,2,54091,50.728485,-120.043918
49.033689778128476,-122.29482006884344,74.0892884860622,1332.0,110.0,12,0,10660,49.039878,-122.295275
48.630677163353795,-123.4175778543132,56.0,1640.0,110.0,12,2,45756,48.631906,-123.422612
55.81091964579809,-121.50819861410858,110.51349793823198,1980.0,110.0,30,0,57177,55.801687,-121.486347
49.08483569918136,-122.66837169814687,144.11174136335114,1332.0,110.0,12,0,8905,49.087142,-122.668218
48.67963682388526,-123.54820226315846,293.0,2862.0,110.0,0,0,108227,48.6854,-123.5468
51.61197630150336,-121.23299929872985,77.0,756.0,110.0,2,2,42119,51.615587,-121.240199
52.803665184979636,-119.22677880362299,90.56949239886514,30.0,132.0,42,6,88801,52.80744,-119.231055
50.18131522985729,-122.87495516864465,10.0,1332.0,110.0,0,2,85498,50.171329,-122.881646
49.25574104405839,-124.18878597467638,10.0,1122.0,110.0,2,2,880,49.253718,-124.191378
48.963991616705435,-123.7870143856251,8.0,1892.0,110.0,12,2,74975,48.963298,-123.785358
52.110886343673236,-122.16075399384302,115.50419261928265,30.0,110.0,12,0,61331,52.113216,-122.157844
49.03162982565863,-122.62665484029867,195.74274048576774,1332.0,110.0,12,0,30708,49.035298,-122.623495
