pca1,pca2,pca3,pca4,pca5,pca6,pca7,latitude,longitude,well_tag_number
-33767.72327350605,346.7179822310763,-407.9099434100802,-23.68049267509229,6.943661424052851,0.07065540413255081,0.9900955787995559,49.05688,-122.316306,10860
-34114.81904463315,331.1069791044681,-397.9972660202061,-93.4334180763142,6.913778354833476,-0.2182645419103072,1.0307472469284058,49.016654,-122.26267,10513
-27127.3579462216,-912.0819560051041,-241.18469331641273,78.68905744002593,20.98681885626097,2.007373042552977,-0.030355002153487836,48.686112,-123.54964,17510
37003.78867343791,17.983104502247738,-486.44146798086746,173.8954928829781,7.680394029000647,1.4161827373348757,0.8409119948609188,49.104893,-122.558904,81632
-9126.49251402458,-1742.69587440425,-350.09482507087995,-3.328565083864069,-8.022718012953481,-2.4975170776679767,-0.5246905487543517,50.616026,-119.142119,35517
-18123.341869483735,3562.9942728497053,-196.12097438159836,5.4668725384372605,-9.138535697288347,-0.3981518502126481,-2.008887128736364,54.04319,-123.93103700000002,26478
-31889.82642358648,-243.29749650823533,-4.375515066128776,-71.08793531980959,3.565263733746872,2.3783546136167963,-0.5026363896362758,49.497987,-124.823539,12742
-3872.0464618497786,3313.3950364858424,-360.7948519477305,-68.40799789800421,-17.82947794977369,-1.3421726364674442,-1.526966539889338,53.94198000000001,-122.940829,40731
-272.1325585174782,299.280126044216,-419.5929207778452,254.7282148783889,7.3282387928859976,1.5469621222498624,0.8397867359833414,49.152262,-122.672048,44355
-13460.555152987668,160.91282216935247,-420.2850971341197,-27.67387026662639,6.979479661921491,0.22186432073186288,0.9988574015475908,49.028435,-122.313166,31168
-14150.29833487799,2655.389926796983,-65.71190110764815,70.04087488755442,-20.28891801865237,-0.7520586722437281,-0.6818200818047366,52.741237,-122.526697,30458
13786.411895407806,1643.6375462917542,-197.99661323464798,4.717009894002,-1.3417351013636274,-2.4735799300133783,0.6492595855469665,51.01142,-120.2232,58402
-28805.829591832506,-4.9436697431971455,-14.462634857156596,-99.30948314620116,-15.859393937561569,2.597072490581757,-0.3312122542014743,49.849029,-125.092349,15824
-12371.054246072637,-1143.4032163822794,231.5123805215022,-77.24128754785835,28.396334080334288,1.4445187579894505,-0.28219399521390703,48.530766,-123.45188,32267
-24481.99380019055,157.68286389033696,-403.25994807097646,165.69870448285266,6.620938301195452,1.2019023900008878,0.8574993881149479,49.054172,-122.664742,20147
-23657.51333151622,2829.2249025653064,-316.8575704869049,-10.863834425544406,-19.288787801040893,-1.290112687526772,-0.7137216688383854,52.960622,-122.417264,20950
-32636.065321118927,4684.196054000689,435.5557887215523,-31.11748058430608,20.831752404071697,-5.0748932172989285,-3.079737489775436,55.890101,-120.471887,11956
-27185.15933237888,631.8240247087579,449.36396235934234,18.351079356862005,4.935120175978166,0.07352426598540976,0.8687211009191317,49.159093,-122.299264,17439
-24270.58736870022,-3474.2634978099195,-190.06754234238795,39.122980401343156,16.756728082362983,-1.3545651809700678,-0.8992107816378657,49.173657,-119.542984,20387
37900.09013681343,-3645.0762829728246,-212.60318396335842,-62.742170143078965,4.626479550555853,-1.3174300522571762,-1.3324075225751515,49.84582,-119.69116,82557
2579.0169236623397,183.5682620389165,244.17678069145745,-78.36716676062507,1.2665007022420467,1.507384662062478,0.4183718650147741,49.173385,-123.796743,47206
33768.15766833565,1289.9496300563105,510.2246178295704,-10.645290156500954,-1.8732312707186705,0.18012009168773854,0.2183998864336672,50.340941,-122.730322,78385
-7853.907222932101,-560.9604195850801,-242.94442507128016,5.611260454218616,2.069209770727244,2.3040727996226757,-0.056795254343147576,49.246051,-124.12252,36780
-8027.6024744416945,-3703.3232465683577,14.867849213347244,-5.981998079093982,15.972788620085444,-1.9212782781885158,-0.7896981211887132,49.056947,-118.947394,36631
52855.78002371036,-1297.8055998796847,190.61730928698242,-50.15367294060983,-16.641963646002147,2.30863940653442,0.3758481822152719,48.851356,-123.537024,97493
7766.06320746202,-874.7462500771779,-303.3009333512511,-89.17684523104117,-23.033480733264604,2.1314990611632454,0.7144237763644885,48.929691,-123.758303,52402
-29060.584015864188,-649.4422990235705,294.1029678819124,-78.57035874647201,-17.107687087414373,1.5492432488647108,0.5965635695137476,48.845565,-123.445833,15574
56195.08611908484,99.39057493382678,-511.9691057367925,29.816808994934327,8.337739845268343,0.8440577801874207,0.8446261660137134,49.211635,-122.47556000000002,100822
-13100.590179957026,296.7191450574464,261.43244574942173,-29.48836171651979,1.1349971528562983,1.5756202712653036,0.4880361395965511,49.136948,-123.784341,31526
8041.121670897079,-955.9254096850976,247.87312851018436,-67.99595840642364,-16.917529706683162,1.928919448312106,0.5354058684909077,48.84044,-123.514189,52677
34048.0786310462,5169.778597371562,516.5119988854417,-30.426877372064467,5.868362365157528,-1.2337971450595324,2.3647251885265512,50.353543,-122.712441,78634
-14166.078532849902,2720.548673302743,-328.1786215591992,-24.373513766604862,-19.293988812508687,-1.1091215477113905,-0.7841676232854151,52.94919399999999,-122.573278,30442
39469.47305341663,-443.2332795535598,-350.05607540233467,-88.70321242923126,-22.466583374098192,2.098469649015292,0.9033327862039012,49.061398,-123.786423,84101
-29526.81543455989,-907.3607906838057,179.1957461316426,-39.11785196619224,6.709801011455122,1.5826900849942729,0.2277200480306651,48.629215,-123.410456,15110
-9844.550815224857,886.3270495573523,440.7720399120418,-52.25044575315277,5.814400573307031,-0.5557955080132597,1.1875442442032322,49.125219,-121.884569,34777
-27244.97583154171,-149.96796589781687,-23.593044148610865,-20.86796009295801,-16.12615549038307,2.8199347764887626,-0.16801524804274506,49.684333,-124.941012,17386
7615.857848337772,8552.602293724449,256.2964065274391,-120.28797976619335,2.060358632953,-1.6760228129876371,5.895771347644218,48.806475,-123.325432,52176
18071.983847541956,-2737.2963210406947,44.614197247917375,-17.684574379646055,-9.747106744163196,-4.9637552383578525,0.5070739665449611,49.70951,-115.91456399999998,62722
